City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
167,Yulara,-25.2406,130.9889,105.64,6,0,6.91,AU,clear sky,2022-01-09 06:52:05
168,Sistranda,63.7256,8.834,31.96,70,3,15.46,NO,clear sky,2022-01-09 06:52:05
169,Kidal,18.4411,1.4078,55.09,21,4,11.07,ML,clear sky,2022-01-09 06:52:06
170,Nanakuli,21.3906,-158.1547,75.15,78,20,5.75,US,few clouds,2022-01-09 06:52:07
171,Namibe,-15.1961,12.1522,70.29,68,89,6.42,AO,overcast clouds,2022-01-09 06:52:07
172,Thompson,55.7435,-97.8558,-18.24,69,20,12.66,CA,few clouds,2022-01-09 06:51:22
173,Airai,-8.9266,125.4092,69.26,81,91,2.08,TL,overcast clouds,2022-01-09 06:52:08
174,Lagoa,39.05,-27.9833,58.44,70,48,10.63,PT,scattered clouds,2022-01-09 06:52:08
175,Half Moon Bay,37.4636,-122.4286,51.98,85,0,0.0,US,clear sky,2022-01-09 06:52:09
176,Sisimiut,66.9395,-53.6735,5.5,82,16,8.81,GL,few clouds,2022-01-09 06:52:09
177,Deer Lake,49.1667,-57.4316,12.06,73,75,5.75,CA,broken clouds,2022-01-09 06:52:10
178,Tondano,1.3038,124.9112,78.89,58,41,4.85,ID,scattered clouds,2022-01-09 06:52:10
179,Jacareacanga,-6.2222,-57.7528,71.01,100,100,1.41,BR,overcast clouds,2022-01-09 06:52:11
180,Kargasok,59.0556,80.8572,23.36,94,99,9.62,RU,overcast clouds,2022-01-09 06:52:11
181,Japura,-0.3167,102.35,86.16,68,99,4.72,ID,overcast clouds,2022-01-09 06:52:12
182,Hohhot,40.8106,111.6522,30.49,47,100,4.47,CN,haze,2022-01-09 06:52:12
183,Ipixuna,-1.7625,-48.8043,76.95,97,100,2.44,BR,overcast clouds,2022-01-09 06:52:12
184,Jalu,29.0331,21.5482,51.33,44,0,19.89,LY,clear sky,2022-01-09 06:53:13
185,Sorland,67.667,12.6934,32.58,70,7,14.94,NO,clear sky,2022-01-09 06:53:13
186,Filadelfia,39.9523,-75.1638,30.34,69,0,4.0,US,clear sky,2022-01-09 06:51:02
187,Balkanabat,39.5108,54.3671,50.09,76,87,8.66,TM,overcast clouds,2022-01-09 06:53:14
188,Aljezur,37.3191,-8.8033,45.34,92,43,7.99,PT,scattered clouds,2022-01-09 06:53:14
189,Katsuura,35.1333,140.3,56.1,55,100,9.06,JP,overcast clouds,2022-01-09 06:53:15
190,Turgenevo,54.8455,46.3297,9.07,96,57,5.39,RU,broken clouds,2022-01-09 06:53:15
191,Mehamn,71.0357,27.8492,23.94,74,100,20.78,NO,light snow,2022-01-09 06:53:16
192,Sao Joao Da Barra,-21.6403,-41.0511,72.27,96,100,9.13,BR,overcast clouds,2022-01-09 06:53:16
193,Vilyuysk,63.7553,121.6247,-34.28,99,13,3.91,RU,few clouds,2022-01-09 06:53:17
194,Thinadhoo,0.5333,72.9333,82.02,73,17,5.53,MV,few clouds,2022-01-09 06:53:17
195,Makakilo City,21.3469,-158.0858,73.72,77,20,5.75,US,few clouds,2022-01-09 06:51:13
196,Kavieng,-2.5744,150.7967,83.52,70,66,7.72,PG,broken clouds,2022-01-09 06:53:18
197,Saskylakh,71.9167,114.0833,-5.75,84,100,18.21,RU,overcast clouds,2022-01-09 06:53:19
198,Vanimo,-2.6741,141.3028,77.59,89,100,6.02,PG,overcast clouds,2022-01-09 06:53:19
199,Hualmay,-11.0964,-77.6139,69.28,87,58,7.61,PE,broken clouds,2022-01-09 06:50:42
200,Nianzishan,47.5167,122.8833,12.25,65,83,6.73,CN,broken clouds,2022-01-09 06:53:20
201,Chernukha,55.5974,43.7556,14.9,94,100,10.16,RU,overcast clouds,2022-01-09 06:53:20
202,Dunedin,-45.8742,170.5036,62.02,80,100,3.38,NZ,overcast clouds,2022-01-09 06:51:01
203,Mayumba,-3.432,10.6554,77.61,92,100,4.05,GA,light rain,2022-01-09 06:53:21
204,Darnah,32.767,22.6367,52.68,77,57,24.92,LY,broken clouds,2022-01-09 06:53:21
205,Suntar,62.1444,117.6319,-28.61,98,6,3.87,RU,clear sky,2022-01-09 06:53:22
206,Helena,46.5927,-112.0361,23.99,58,0,6.91,US,clear sky,2022-01-09 06:49:32
207,Rocha,-34.4833,-54.3333,59.52,92,0,6.04,UY,clear sky,2022-01-09 06:53:23
208,Mukhen,48.1,136.1,-4.04,98,97,1.61,RU,overcast clouds,2022-01-09 06:53:23
209,Port-Gentil,-0.7193,8.7815,80.56,89,40,3.44,GA,scattered clouds,2022-01-09 06:52:37
210,Devils Lake,48.1128,-98.8651,-11.22,78,0,17.0,US,haze,2022-01-09 06:53:24
211,Skjervoy,70.0311,20.9714,26.33,72,43,8.32,NO,light snow,2022-01-09 06:53:24
212,Vao,-22.6667,167.4833,77.34,88,1,26.13,NC,clear sky,2022-01-09 06:50:40
213,Qorveh,35.1664,47.8045,41.25,38,0,2.46,IR,clear sky,2022-01-09 06:53:25
214,Lavrentiya,65.5833,-171.0,-13.97,87,4,8.23,RU,clear sky,2022-01-09 06:53:21
215,Olafsvik,64.8945,-23.7142,35.64,69,13,10.87,IS,few clouds,2022-01-09 06:53:26
216,Lata,40.1629,-8.3327,53.82,87,100,2.04,PT,overcast clouds,2022-01-09 06:50:18
217,Tyret Pervaya,53.6703,102.3106,0.48,95,81,6.64,RU,broken clouds,2022-01-09 06:53:27
218,Torbay,47.6666,-52.7314,16.75,79,75,11.01,CA,broken clouds,2022-01-09 06:50:53
219,Nome,64.5011,-165.4064,5.07,47,0,5.75,US,clear sky,2022-01-09 06:51:14
220,Daoukro,7.0591,-3.9631,70.66,94,15,1.83,CI,few clouds,2022-01-09 06:53:28
221,Maceio,-9.6658,-35.7353,74.64,94,0,5.75,BR,clear sky,2022-01-09 06:49:53
222,Zelenoborsk,61.4669,64.0333,5.27,82,22,11.25,RU,few clouds,2022-01-09 06:53:29
223,Sale,34.0389,-6.8166,50.63,100,0,4.61,MA,clear sky,2022-01-09 06:53:29
224,Kolosovka,56.4678,73.611,19.62,94,93,9.13,RU,overcast clouds,2022-01-09 06:53:30
225,Newbury,51.4003,-1.3206,39.49,88,17,11.5,GB,few clouds,2022-01-09 06:53:30
226,Hamilton,39.1834,-84.5333,43.77,88,100,3.0,US,overcast clouds,2022-01-09 06:53:31
227,Tasiilaq,65.6145,-37.6368,29.57,90,100,32.14,GL,light snow,2022-01-09 06:50:34
228,Turtas,58.9417,69.1325,4.57,89,13,9.82,RU,few clouds,2022-01-09 06:53:31
